,City,Temp,Humidity,Cloudiness,Wind Speed,Latitudes
54,provideniya,47.62,100,92,17.69,48.50028011900787
55,nikolskoye,66.2,68,20,4.47,46.805911994992556
56,awbari,91.54,15,92,8.41,26.85147004770667
57,port elizabeth,86.02,66,1,8.05,-76.7583896430736
58,arraial do cabo,70.92,88,0,6.93,-33.54093777004212
59,chaykovskaya,42.8,100,0,4.47,58.14991560258093
60,luganville,76.24,100,20,10.76,-16.31216641192033
61,pecos,98.42,21,1,19.46,30.111921139280028
62,xining,51.31,100,44,2.59,35.07694053795248
63,bredasdorp,44.6,93,92,2.24,-41.483213318024625
64,pochutla,82.6,78,75,17.22,14.494349021348029
65,fairbanks,67.41,60,90,9.17,66.3159933553626
66,faanui,78.22,100,68,16.24,1.388185437309545
67,oistins,80.6,78,20,13.87,11.849496384066157
68,yagodnoye,49.06,100,100,2.82,62.79216475619663
69,saldanha,77.32,35,0,5.39,-44.244679522784566
70,aklavik,62.6,67,75,8.05,71.720408283625
71,kieta,74.53,100,92,4.61,-2.782862931340702
72,abilene,95.83,18,1,10.29,32.98894213353623
73,georgetown,84.2,70,20,11.41,-17.780689129422953
74,port hardy,68.0,64,75,4.7,46.82888945698011
75,gubkinskiy,47.08,97,92,22.73,63.89076361227583
76,yar-sale,44.47,100,8,22.84,68.67404010950199
77,calbuco,50.0,100,90,18.34,-42.15704630690535
78,broome,62.76,93,0,1.12,-21.782430083349823
79,emerald,57.97,88,0,6.96,-22.745106456868612
80,lagoa,77.0,73,0,6.93,44.91868986985406
81,saint-pierre,76.19,64,0,17.22,-24.1121169731162
82,lompoc,79.18,56,1,14.99,20.44009833132941
83,lorengau,80.11,100,12,4.72,2.080030358461343
84,saint george,71.6,60,0,8.05,34.82155825768814
85,carahue,51.04,99,92,9.31,-38.514104784973476
86,tasiilaq,41.0,93,0,8.05,79.93334119934417
87,lavrentiya,45.01,100,36,8.63,74.26392498043813
88,bossangoa,68.32,98,88,5.73,6.05223561223346
89,channel-port aux basques,64.99,94,80,3.71,47.846722332125495
90,nabire,66.88,93,64,1.92,-3.1923045868284134
91,bethel,60.8,77,90,6.93,63.42870753609154
92,hobart,50.0,81,0,6.96,-54.83146450635068
93,auki,74.62,86,32,6.06,-5.6726078493787355
94,salalah,77.0,94,90,4.7,17.805396998539493
95,wasilla,71.35,56,90,2.26,62.80096949680899
96,tieli,59.77,93,48,2.71,46.75488490857424
97,butaritari,82.18,100,32,8.75,18.05318582688149
98,yulara,41.0,56,0,5.82,-28.322174190434147
99,fortuna,79.7,69,0,3.36,35.60440673654945
100,atuona,77.23,100,68,16.8,-9.993784771857861
101,swakopmund,56.44,100,0,13.78,-22.685998406879207
102,qaanaaq,38.98,94,80,4.61,81.05081531118395
103,baghdad,89.6,35,0,6.93,31.241414544717458
104,los llanos de aridane,73.4,73,0,16.11,24.446622151298413
105,rio gallegos,30.2,74,0,6.93,-50.55901943142639
106,tautira,82.4,65,75,13.87,-17.250914596185808
107,ribeira grande,74.89,99,44,6.96,35.7431067333753
108,svetlogorsk,57.2,93,20,6.71,66.34383854216463
109,port keats,76.73,76,0,5.75,-14.093639537234253
110,gloucester,66.15,60,1,5.82,42.37687226770959
111,kavieng,81.01,100,44,3.6,-3.508003442848448
112,kaitangata,44.06,92,68,4.18,-59.43197871252882
113,norman wells,64.4,68,90,13.87,64.26745113300692
114,puerto ayora,77.0,65,75,14.99,-8.55162149873999
115,kaiyuan,73.13,84,48,7.65,23.894560694032904
116,eureka,61.72,87,90,13.87,40.497038314981296
117,torbay,57.2,87,75,8.05,42.32158623279713
118,sistranda,57.2,82,75,11.41,65.13207280884052
119,paamiut,41.72,95,92,16.15,56.31197783726191
120,mayor pablo lagerenza,57.83,66,92,7.99,-19.83891545682809
121,carutapera,80.29,82,100,8.97,6.647397396283623
122,saskylakh,52.07,69,0,16.26,83.97384510215554
123,denpasar,73.4,83,40,10.29,-12.618383811474672
124,matara,48.2,70,40,1.95,0.6297667405055165
125,kapaa,85.3,74,90,20.8,10.721418347350593
126,sierra vista,94.51,24,40,5.82,31.512596726094003
127,ihosy,44.33,89,76,2.51,-22.687075646105242
128,weyburn,78.67,52,0,12.66,49.93917318436914
129,shaowu,75.2,91,48,1.39,27.40788290872311
130,bilibino,51.94,53,48,2.71,67.31742134863242
131,bambous virieux,71.6,73,40,8.05,-27.594627622230902
132,jangaon,74.12,83,0,14.92,17.748660490352776
133,chuy,54.23,97,92,14.58,-45.92256801635172
134,kahului,82.9,66,40,21.92,36.08405203565697
135,marawi,71.96,97,76,3.74,21.226857674362776
136,la chapelle-sur-erdre,74.59,69,0,6.93,47.31680721917286
137,durban,78.22,88,0,5.82,-31.633280126898477
138,leningradskiy,34.16,100,92,4.18,79.26554606839807
139,havelock,81.7,94,1,5.82,34.44094949439709
140,sur,86.27,81,0,5.64,18.709804368575846
141,edgewater,87.37,70,40,10.29,29.723845215382397
142,bathsheba,80.6,78,20,13.87,12.885593042120178
143,port alfred,61.52,86,0,22.19,-74.67405024347116
144,mar del plata,58.24,42,0,22.5,-69.87759261023639
145,ust-nera,56.21,63,88,2.62,63.28934243874198
146,lethem,82.58,67,24,5.19,4.835082264451486
147,thompson,66.2,82,75,11.41,79.49722700277025
148,vredendal,52.07,95,92,3.74,-32.13040224573612
149,troitsko-pechorsk,43.88,84,68,2.39,63.23158255918182
150,torbat-e jam,64.58,49,0,5.19,35.821697636653525
151,ekibastuz,63.05,65,80,5.53,50.68270035619457
152,takhatpur,69.62,96,8,2.95,22.21290442801609
153,chernenko,67.1,73,0,3.62,55.805055081881505
154,dwarka,84.2,66,40,5.82,20.70266694304199
155,susanville,86.0,7,1,19.46,40.20710798627729
156,nhulunbuy,75.2,88,90,5.82,-12.993172499678053
157,cabo san lucas,92.64,58,5,17.22,7.950672781172273
158,cayenne,82.4,78,20,6.93,11.652860408182335
159,port hedland,53.6,58,0,6.93,-21.781964141644664
160,kungurtug,50.0,100,24,2.51,52.29773369951204
161,black river,86.0,70,75,10.29,16.86243455021571
162,lang son,74.17,97,68,1.36,22.135795557704157
163,asmara,69.26,92,36,2.84,15.454027767044721
164,barrow,43.88,55,12,9.44,82.36335736809357
165,matagami,68.45,98,92,3.06,51.74495622568489
166,paranhos,63.23,97,92,4.52,-23.743958030463915
167,vestmannaeyjar,52.57,91,36,5.17,55.59466321741846
168,kultayevo,42.8,100,0,4.47,57.823037595532924
169,oranjemund,58.01,99,0,5.3,-33.86622042296702
170,herne bay,62.6,88,0,2.24,51.34931617037873
171,tiksi,54.91,77,0,6.17,71.65225754838085
172,gat,76.55,93,32,8.66,24.48345746946889
173,alice springs,46.4,26,0,6.93,-25.103893480215362
174,artyom,64.4,100,75,6.71,41.612894899917364
175,kalamazoo,89.01,52,1,5.82,42.46859162856285
176,umka,72.41,73,0,2.24,44.68168090847388
177,bara,75.65,86,100,6.31,14.624998155787225
178,cidreira,56.75,92,20,14.58,-42.63322116908365
179,visnes,59.0,72,92,9.17,58.05053907228779
180,east london,64.31,100,0,25.77,-37.8985310182774
181,guerrero negro,80.78,61,0,13.24,12.7453113001244
182,ancud,51.71,97,92,7.99,-41.46289931085914
183,katsuura,80.6,78,20,3.36,18.4402809979764
184,borogontsy,64.04,83,88,5.97,64.69259627634673
185,ocotepec,55.67,94,92,1.16,17.207575452421665
186,redcliffe,65.61,93,20,3.36,-18.808185476787827
187,barcelona,81.5,78,0,4.7,10.033859512822033
188,boizenburg,67.41,82,0,5.82,53.41793743466647
189,gigmoto,81.32,100,64,12.8,14.46684149244156
190,hobyo,74.08,87,8,17.25,3.7976271045529018
191,kattivakkam,78.8,88,75,5.82,13.236479025248528
192,isangel,71.87,100,48,12.46,-21.651245480415582
193,hasaki,82.4,88,20,5.82,27.19432340993005
194,rusape,39.65,71,0,2.39,-18.899056589584347
195,khatanga,46.4,97,92,25.88,81.02323324373066
196,walvis bay,54.41,100,0,11.68,-24.344097520605615
197,hamilton,82.4,69,20,11.41,26.709131885246805
198,clyde river,51.8,66,20,14.99,70.68146857195882
199,victoria,79.68,94,75,11.45,-1.5340957300090565
200,junagarh,73.67,90,20,7.76,19.664836200606885
201,saint-philippe,77.36,61,1,5.82,-42.82177180479563
202,boueni,77.0,83,0,5.82,-13.377193793718604
203,yerbogachen,53.42,71,0,5.19,62.55276554921579
204,kirchzarten,74.03,78,0,3.36,48.01481922703189
205,dingle,76.82,96,92,11.56,49.81104777814724
206,khani,69.8,94,75,4.7,58.411356994179414
207,marga,57.47,87,0,3.96,45.47760954762998
208,vardo,85.1,48,75,5.82,77.23328960403751
209,zvishavane,45.77,48,0,4.41,-20.678315163154494
210,aswan,82.04,33,0,7.2,23.282894115561675
211,fare,79.43,99,88,17.6,-12.088088287533694
212,airai,63.64,83,12,1.59,14.953342326253349
213,trelew,55.04,42,88,5.86,-43.048663140209705
214,semporna,75.2,94,75,17.83,4.053735318674285
215,vila franca do campo,71.6,83,40,8.05,39.02001528477973
216,kruisfontein,56.3,100,92,10.22,-53.828679089849935
217,amga,59.72,85,92,6.98,60.49762069601698
218,verkhnyaya toyma,52.25,71,48,5.41,62.81574874032779
219,talnakh,49.01,72,64,7.31,80.35227260806127
220,bandarbeyla,77.36,86,48,28.79,9.493962322798083
221,xalpatlahuac,65.12,92,64,2.51,17.394812225809133
222,chokurdakh,46.4,79,24,11.34,80.99876095924594
223,dudinka,50.36,69,92,13.91,72.79768695311796
224,marathon,60.8,100,90,8.05,24.078390847564606
225,ghauspur,79.25,70,8,7.09,28.131734095217013
226,husavik,78.17,72,36,8.77,69.21979740786895
227,ilulissat,48.2,61,40,6.93,76.92662962854615
228,newcastle,62.33,44,0,12.68,-33.40988834981877
229,uige,65.03,83,0,3.4,-6.875142712732682
230,basqal,63.05,71,36,2.62,40.83838625370262
231,lichtenburg,58.82,44,44,7.09,-26.63565311829558
232,quatre cocos,71.6,73,40,8.05,-17.696613923320797
233,ponta delgada,71.6,83,40,8.05,31.57542942604394
234,saint-francois,75.2,50,0,1.12,17.90257354841549
235,rayadrug,70.97,90,56,12.46,14.812737422198396
236,zhicheng,78.53,95,80,5.75,26.747788690839798
237,tura,77.18,97,68,2.51,67.91090907127594
238,randazzo,77.67,83,40,8.05,38.00685584460652
239,waitati,43.07,93,36,4.07,-45.522380027647294
240,la ronge,71.6,64,75,16.11,55.710497953887256
241,znamenskoye,45.77,80,0,5.19,58.525065875143866
242,mount gambier,54.14,68,64,11.23,-51.68725006772727
243,harper,94.46,29,40,9.17,-2.3957656146624657
244,bograd,60.8,87,0,2.73,54.61362342971711
245,kavaratti,83.3,94,0,12.46,11.34751843587766
246,bibiani,71.15,83,8,9.22,6.3765014414378385
247,shimoda,80.6,88,40,3.36,28.681723593849682
248,encinitas,81.9,73,1,9.17,32.800359280275146
249,pevek,42.71,100,12,8.66,86.40996051170404
250,kedrovyy,64.4,63,0,2.24,58.16528360243257
251,taltal,50.18,87,20,2.84,-24.89771274878271
252,nago,73.83,100,90,3.36,27.107853247021822
253,uyuni,29.12,93,92,4.18,-20.79790802432389
254,omsukchan,52.7,100,92,3.4,65.20671450861093
255,san vicente,83.3,69,20,5.82,18.997413983122073
256,vidim,68.92,94,0,5.82,55.64748178137873
257,okato,52.79,100,100,9.44,-38.38312563071894
258,luderitz,50.09,92,0,4.41,-30.987272708842852
259,apache junction,108.63,19,40,5.82,33.60602983550706
260,tilichiki,51.98,99,92,3.96,59.575730730489624
261,agadir,69.8,83,75,2.24,31.10600459464051
262,zhigalovo,54.23,76,88,2.73,54.179342568622616
263,deputatskiy,51.35,62,0,10.56,73.38546754649312
264,bacolod,78.44,91,76,14.81,9.058336594622759
265,san marcos,83.93,66,40,9.17,8.617720825589927
266,nuevo laredo,99.75,24,1,12.75,27.747396046220416
267,urzhum,56.57,98,92,10.67,57.09760822156261
268,dunedin,43.07,93,36,4.07,-51.99883533733716
269,muriwai beach,53.6,93,56,10.29,-37.7066831748369
270,portland,81.07,36,40,3.36,-39.94225283152599
271,grand gaube,71.6,73,40,8.05,-15.659101316018905
272,booue,72.23,90,56,3.18,-0.19378828766612344
273,souillac,81.21,39,0,8.05,-37.27758746178614
274,rocha,50.45,95,48,10.45,-49.54580892838302
275,catuday,79.16,100,92,3.96,16.76101193695112
276,powell river,76.51,56,20,8.05,51.282848836502666
277,verkhoyansk,68.45,58,32,3.74,67.51407012619373
278,balesti,60.26,88,32,2.95,45.48734976400999
279,mahebourg,71.6,73,40,8.05,-41.225505807060046
280,misratah,78.53,94,0,7.99,32.203185214438705
281,asyut,87.8,40,0,9.17,24.72620250803331
282,baykit,53.96,81,0,9.66,65.87477234669097
283,kota kinabalu,78.8,78,75,4.7,8.421672817894574
284,sitka,96.62,32,0,9.78,51.552079585668906
285,dong hoi,81.95,94,88,8.43,17.46195404695949
286,champerico,86.0,48,90,11.41,8.117613458258745
287,glasgow,57.2,82,76,10.29,37.18077399232662
288,wanning,75.2,69,24,3.36,19.038166289584737
289,freeport,87.8,70,75,8.05,26.324933075082228
290,padang,75.56,100,76,5.19,-4.1342656718006054
291,charters towers,65.75,95,44,6.87,-21.7445581825785
292,zemio,69.98,90,12,1.83,5.858750398885718
293,hovd,58.06,77,75,16.11,44.20570495375583
294,ewa beach,82.83,62,75,11.41,10.418696957312761
295,cabedelo,75.2,83,0,10.29,-5.700211588134508
296,naze,77.0,88,40,6.93,28.82336467069007
297,loiza,83.01,88,75,11.41,19.101145255595853
298,tripoli,77.0,57,40,8.05,32.674803369041115
299,calabozo,77.99,83,20,6.87,8.419174623033825
300,warrington,60.12,87,0,3.36,28.567301358380732
301,pisco,64.4,77,0,18.34,-25.017674098171767
302,ixtapa,87.8,74,75,10.29,13.085080800930157
303,northam,63.63,82,0,6.93,-30.8606810125343
304,teahupoo,82.4,65,75,13.87,-20.354320190238127
305,yarmouth,66.94,64,0,4.7,41.21110138582037
306,okitipupa,74.3,86,92,3.74,6.517958388771348
307,ntchisi,58.28,97,0,3.4,-13.399779857151145
308,izhma,47.57,78,56,2.39,64.87371124350977
309,nanortalik,42.35,99,92,2.95,55.190059372691564
310,bakel,84.38,68,68,12.46,15.539843036389485
311,bonthe,74.57,98,92,3.06,3.0637456836756485
312,mogadishu,76.64,100,80,15.48,-0.9429372970441818
313,manisa,78.8,57,0,8.05,38.74076089273328
314,labis,73.22,92,24,2.28,2.464839232367737
315,cockburn town,81.14,100,68,21.3,23.492034192386868
316,whitehorse,71.6,43,75,12.75,62.26128215068832
317,cherskiy,54.68,48,0,5.3,70.95817192333894
318,tignere,60.98,93,56,2.73,7.375176576145492
319,progreso,49.14,100,75,7.43,24.71178690741303
320,vila velha,78.8,74,0,8.05,-29.77509128870907
321,abu kamal,83.84,36,0,9.55,33.74741814216951
322,harlingen,92.43,46,1,20.8,54.79317694225196
323,menongue,69.62,50,76,2.39,-15.889119064779734
324,aparecida do taboado,68.81,85,56,8.43,-20.002838771119016
325,szczecinek,63.77,88,56,6.98,53.99300252503656
326,buzmeyin,82.4,32,0,2.24,39.87672582241339
327,urucara,80.6,67,64,3.06,-0.2645576012472475
328,talcahuano,51.8,87,90,5.82,-31.858108171214198
329,kambove,52.88,53,0,4.63,-10.10337289586387
330,roros,51.8,100,88,2.24,62.67779920161814
331,severo-kurilsk,54.77,93,8,4.63,46.742386349563816
332,darhan,62.87,100,92,5.64,45.8528197842746
333,ayni,47.75,73,0,1.83,39.712179070461985
334,codrington,60.26,69,0,3.4,26.660237798499168
335,ust-kuyga,60.62,67,0,8.77,68.59812071285947
336,bereda,69.8,83,0,1.12,12.850702401743703
337,san patricio,51.17,84,48,3.51,2.220389112478074
338,aykhal,51.17,58,0,5.3,68.29932551271483
339,show low,87.93,39,1,6.93,34.539229447575735
340,ericeira,90.39,20,0,8.05,39.01755412988322
341,novikovo,62.87,99,0,2.39,47.85234545770098
342,taoudenni,84.92,35,12,7.99,21.258748405604123
343,tezu,69.53,97,100,1.72,30.372236954117056
344,gazanjyk,81.95,31,8,5.64,39.88833792147162
345,berlevag,52.34,100,100,3.18,84.37369584745525
346,ostrovnoy,47.75,73,92,7.99,68.52193625842838
347,itarema,78.35,72,0,15.59,8.967005386727422
348,doctor juan manuel frutos,55.4,70,76,7.76,-25.31102020554779
349,san quintin,78.8,100,20,2.24,26.519073050958752
350,eydhafushi,82.13,100,0,7.76,4.718536966318879
351,krasnozerskoye,48.38,93,0,3.62,54.08757554466408
352,salinopolis,80.42,97,92,14.47,6.461923402356263
353,manzanillo,83.75,100,64,9.22,19.05964345657624
354,westport,53.33,100,64,3.06,-37.364510930447025
355,bolshevik,59.0,93,0,2.24,50.76431284381215
356,ponta do sol,63.23,86,20,6.2,24.50272354875088
357,palu,70.07,73,0,1.83,-1.7311423873230467
358,zaysan,55.31,74,24,3.4,47.066978650293805
359,margate,50.0,81,0,8.99,-37.486968127437216
360,avera,85.98,55,40,3.36,-35.82077926894529
361,richards bay,65.3,65,0,6.2,-34.39414871254734
362,hirara,80.6,88,20,4.7,22.23267167838509
363,lasa,78.01,83,40,4.7,31.735023914435743
364,husum,63.21,88,80,9.17,54.39934957616086
365,port lincoln,51.62,100,92,7.2,-40.17409997625032
366,statesboro,85.98,66,40,6.93,32.662909840601586
367,hithadhoo,82.85,100,88,4.74,-5.4009201204010395
368,morwell,57.65,55,36,7.65,-39.015419921508965
369,tefe,86.0,66,20,4.7,-4.114444435176878
370,narsaq,51.8,71,92,5.82,83.79518819862997
371,anadyr,48.2,87,90,17.9,63.49442605244309
372,maykor,47.12,80,0,3.29,59.27690444200559
373,dargaville,57.38,81,0,14.81,-36.199315111258265
374,sabang,79.07,99,100,11.12,8.549558492884856
375,sola,60.8,93,0,3.36,-13.374417466692108
376,san cristobal,60.8,63,75,3.36,0.4958835087053757
377,najran,82.4,39,40,8.05,19.4635635147565
378,phek,66.65,98,88,1.95,25.14857215303975
379,namibe,64.13,100,0,15.7,-13.128389917815667
380,mercedes,46.49,90,0,3.18,-34.00206870448993
381,nishihara,82.42,88,40,3.36,23.31274831633273
382,grindavik,52.75,87,0,5.82,57.523882227095555
383,lima,59.27,79,20,2.73,-19.541754622740456
384,douglas,96.8,23,1,8.05,31.63523941935665
385,college,67.41,60,90,9.17,74.789326441962
386,soe,66.2,77,32,9.17,-11.171999433914493
387,male,69.67,80,48,3.15,5.075351128180628
388,tungor,62.15,80,0,3.96,52.7729167473552
389,gorom-gorom,77.0,86,20,8.32,14.188752800563861
390,tamworth,41.0,80,0,3.96,-31.18709472677562
391,donzdorf,73.36,60,0,4.7,48.601234354994745
392,santiago del estero,56.12,46,0,8.43,-28.104105407147955
393,kudal,68.9,100,92,3.29,16.030951022263224
394,kerman,71.6,11,0,6.93,30.8820970076913
395,belfast,59.0,82,56,3.36,44.58354938201873
396,coahuayana,74.75,80,64,2.28,-0.20108080901701442
397,hailey,78.8,21,20,10.29,43.44952019181409
398,chastyye,53.42,70,56,4.29,57.518959783824045
399,gamba,36.95,100,80,1.72,-8.088912413999083
400,pala,77.0,88,75,2.62,9.300330337581968
401,atar,81.23,30,36,4.97,21.618863988213675
402,porto novo,68.0,68,20,4.7,15.489237944825334
403,bambanglipuro,65.93,91,0,2.95,-15.391179203548731
404,kuala terengganu,77.0,100,75,6.64,5.967083209584288
405,khasan,70.07,100,100,5.97,38.851722749236814
406,celestun,85.73,95,44,19.06,21.025601730311365
407,griffith,52.07,86,8,13.91,-33.90865078881877
408,gravdal,59.0,77,92,14.99,71.28587017582527
409,talaya,55.58,97,36,7.76,60.20472386091501
410,tokonou,70.25,97,92,4.41,9.3605913245093
411,pathein,75.38,100,92,7.09,18.010702131621372
412,port-gentil,75.2,88,75,6.93,-0.33590563590138345
413,eyl,76.55,82,0,19.95,6.72742839066855
414,sault sainte marie,78.21,65,1,11.41,46.788699694830996
415,shizunai,60.98,100,92,5.08,41.728963798012785
416,muros,73.4,78,0,4.7,43.67132382081493
417,moerai,70.43,100,92,20.62,-21.843969371399865
418,takhtamygda,66.38,76,12,3.4,54.63605542816876
419,basco,88.18,48,1,10.29,20.854510274664875
420,kabansk,60.8,77,40,3.62,52.11214406614667
421,rubtsovsk,61.25,95,36,7.54,51.41710245902692
422,san ignacio,50.0,87,90,5.82,-4.74011775634068
423,jedburgh,60.01,82,20,11.41,55.12917756917909
424,ovalle,47.12,95,12,3.06,-30.68620840813884
425,chilliwack,76.89,50,20,12.75,48.85404160436232
426,pedasi,80.42,100,8,2.51,5.551392288272439
427,kirillov,64.4,96,24,9.22,60.21628610681685
428,mufulira,56.48,46,0,7.65,-12.420539863302707
429,north bend,62.6,82,90,9.17,44.20258631041898
430,tomatlan,82.22,79,32,2.39,17.304651509934956
431,touros,77.18,86,88,14.58,3.0421324351950716
432,coquimbo,53.6,81,0,6.93,-28.177440643180404
433,galle,97.52,32,20,11.41,1.5927795487719578
434,appleton,86.45,42,75,16.11,44.409294556177144
435,dongli,80.6,78,0,3.74,20.540509319789976
436,ornskoldsvik,60.8,72,0,10.29,63.11108257717481
437,vieques,83.01,88,75,11.41,17.68176612531046
438,tselinnoye,75.02,81,0,7.31,52.90067770588033
439,jalu,79.25,47,0,10.0,23.526828289756622
440,newport,64.98,93,36,3.36,44.839339754902795
441,tornio,62.01,93,0,4.7,66.5940208108718
442,jiuquan,63.5,74,88,2.84,41.42377209788725
443,kortkeros,46.4,93,0,2.24,61.61681704312278
444,itupiranga,82.4,65,0,7.2,-4.402547755177437
445,pangnirtung,44.51,90,8,3.06,68.89853857911578
446,dyersburg,91.83,38,1,6.93,35.80256915582173
447,marquette,80.6,61,5,12.75,46.80464865303233
448,kokstad,57.29,43,0,8.43,-29.966261706093164
449,kijang,84.2,74,0,8.05,1.0562054442992235
450,skjervoy,52.97,100,92,7.76,70.28351755533296
451,ergani,78.82,36,0,6.93,38.06386510911196
452,varhaug,59.0,72,75,10.29,57.74916245644019
453,bull savanna,79.7,77,12,4.18,15.36755241867516
454,maceio,69.8,88,0,4.7,-16.77937572290172
455,kitimat,75.2,38,75,6.93,53.71703815382463
456,vao,63.59,91,64,6.76,-28.16121919817239
457,severnoye,69.98,55,8,6.76,56.566000212012625
458,phon,74.57,96,92,10.22,15.550623275646402
459,mayumba,67.91,96,8,3.51,-8.042574272621465
460,farcasu,66.2,88,0,3.36,44.62070580006866
461,narita,83.32,88,20,5.82,35.84316452245214
462,lata,60.8,100,68,1.16,-10.8531877653012
463,abalak,76.01,85,8,10.22,16.997942622114422
464,hirtshals,64.67,86,0,22.75,58.10519604351455
465,erdenet,60.62,100,12,3.62,48.483120186576315
466,martapura,78.35,91,0,7.54,-3.8059384577543796
467,christchurch,42.8,93,12,0.49,-44.2324763821097
468,raudeberg,53.6,93,90,17.22,67.48455510483029
469,melipilla,56.07,81,92,4.7,-33.560081447594044
470,shenjiamen,84.02,92,48,13.02,28.07865372991367
471,santa rosa,59.23,39,12,8.63,-13.540541112444473
472,coolum beach,67.1,82,0,1.72,-25.769808088735786
473,vershino-shakhtaminskiy,63.32,83,0,3.51,51.172527711828934
474,san angelo,98.6,13,1,6.93,31.616825768521096
475,vanderhoof,67.37,54,24,4.18,53.477632353250385
476,moroni,77.81,28,64,3.62,-11.770289203206346
477,te anau,43.07,96,0,3.62,-39.60434143075273
478,nantucket,73.78,94,90,13.87,37.48790360179011
479,tuatapere,46.04,100,88,4.63,-59.828266742695675
480,sterling,86.67,55,40,5.82,59.0693780343739
481,panama city,83.41,78,1,4.7,29.78484772664096
482,kurchum,62.6,100,76,5.75,47.48224378796695
483,gushikawa,80.62,94,1,6.98,25.44731426955326
484,marzuq,68.27,57,80,2.62,25.00467652275013
485,evanston,91.99,34,20,12.75,40.79754128684067
486,alofi,77.0,61,56,12.75,-19.587953228656644
487,kayseri,62.6,55,0,5.82,39.18428332157106
488,west wendover,89.6,11,1,5.82,40.73193667088708
489,mildura,55.49,65,0,19.28,-34.213083504547534
490,ajaccio,76.53,83,0,4.7,41.78355984643841
491,sharjah,88.88,59,0,9.17,24.70202578794192
492,constitucion,84.2,19,75,9.17,10.505353685291368
493,vanimo,75.83,100,68,7.76,3.162712449146454
494,hualmay,58.37,97,8,5.19,-21.860937020374877
495,mitsamiouli,75.2,99,0,6.87,-6.590472111737569
496,castellamonte,64.18,69,75,5.82,45.484381743136765
497,chickasha,91.18,34,1,16.11,34.81050493768029
498,san francisco,81.63,49,40,25.28,-30.10594296558176
499,makinsk,51.8,71,32,5.97,52.11046744573562
500,lelystad,65.01,88,20,5.82,52.600912451105415
501,palmer,57.2,33,0,13.87,55.06670937123428
502,high rock,87.8,70,75,8.05,29.45490341395616
503,cairns,71.6,73,75,10.29,-14.24336410091324
504,ust-omchug,55.67,90,56,3.4,60.689089306756756
505,sorland,55.04,100,92,14.03,72.84336443239292
506,nara,81.7,83,0,3.36,19.239129557137673
